POS RK,QB,QB_Notes,RB,RB_Notes,WR,WR_Notes,TE,TE_Notes,DEF,DEF_Notes,K,K_Notes
11,Baker Mayfield,"Baker had a great year last year, and the situation this year is possibly even better depending on how good Egbuka is and how long Godwin is out. That being said, he had possibly his best throwing year last year and his current ADP has him at least repeating that. There are cheaper options that offer similar or more value.",Bucky Irving,"Bucky is an incredibly efficient RB, nearly leading all RBs in points per 100 snaps the second half of the season. His utilization rate is above 50% which is a good sign, although the snap share is still a little more. I do think there's more potential for Rachaad to eat some points here than people give credit for, but he is still a very talented RB that gets 3 targets a game and handles a majority of the goal line work.",AJ Brown,"Low volume passing team, 7.5 tgts per game
Lack of redzone targets not likely to change
23% target share not elite. WR target share not good
Much better target share second half
Utilization not great, points per 100 stats not either
Passing volume could go up, but relies on deep balls",Mark Andrews,"Great efficiency, but in this case it's bad
6 tgts inside 10, but 11 TDs
Only 15% tgt share, Likely is also there
Prime candidate for regression",,,,
12,Drake Maye,"Drake Maye has a chance to step up if Diggs can be the alpha WR1 many are expecting him to be. In between injuries, we saw flashes of a good QB with some rushing value last year. I expect Maye to improve and have a QB1 level season",Jonathan Taylor,"Jonathan Taylor has a great snap%, although utilization has gone down a bit. Only 1 reception/G means he needs plenty of TDs and yards to be valuable. While that is possible under Daniel Jones, if AR wins the starting job at any point JT very quickly becomes a middle to low-end RB2. There are other options I like more, but he is the end of a tier of safe RBs for me.",Jaxon Smith-Njigba,"Points per 100 snaps increase 2nd half, 26->36
Replace DK with Kupp, JSN still clear 1
Possible downgrade at QB, hard to tell
Great tgt share second half of season, 28%
Possible more zone runs this year
Likely still a good producer, maybe lower ceiling",Zach Ertz,"23 pts/100 snap, 18% tgt share good
low util + low snap not good combo
Good RZ tgts, 30% from within 10 yds
Low total volume makes it hard to pick
Will bust plenty",,,,
13,Justin Herbert,"Herbert could be a decent play this year, given the likelihood of increased passing due to the loss of Bosa on defense and a better WR room than last year. That being said, this is still an extremely run-heavy offense, so I expect multiple 1 TD <250 yard weeks.",Alvin Kamara,"Alvin Kamara continues to be a PPR cheat code in fantasy, racking up around 6.5 targets per game. With the dreadful QB situation, I don't see the high dump offs changing, and there still isn't much competition at the RB position. I expect Alvin Kamara to yet again exceed his ADP, barring injury.",Garrett Wilson,"As hard as it is to believe, downgraded QB
Wilson is begging for a better QB
Low efficiency, only 24
Talent is there, but the surrounding story isn't great
Clear alpha WR1, could have 30% target share
Catchable targets may still not be great",Tucker Kraft,"Not great efficiency, 17 pts/100 snap
Good snap%, really bad utilization
Could've already defined himself as top
target-getter and didn't. Unlikely to now
15% tgt share likely to stay similar
decent floor, low ceiling",,,,
14,Brock Purdy,"The WR room here doesn't look great, and CMC coming back means running should be the star of the show. The most likely outcome here is a slightly worse season than last year, where he'll have some good weeks based on matchups.",Kenneth Walker,"When Walker is healthy, he can be a beast. Great snaps/G and snap%, decent points per 100 snap but dropped off second half of season. Almost 5 targets per game at RB is great, and new coaching seems to fit the outside zone that Walker can excel at. Did have a less than great rushing % from inside the 5, but can succeed elsewhere. Would keep in mind Charbonnet as a handcuff if you go this route",Courtland Sutton,"One of, if not the best contested catch artists
Second half better, pts/100 snap 25 -> 31
Became Bo Nix's favorite target
Fantastic 5yd tgt %, 30% 9 total targets
If Bo Nix plays like second half last season, will smash ADP",Kyle Pitts,"THIS IS HIS YEAR… jk
Likely not going to be good again this year
Don't buy the hype here, stats are bad",,,,
15,CJ Stroud,"CJ Stroud lost Diggs, but has a healthy Nico Collins, Christian Kirk, and Jayden Higgins could be pretty good. Stroud has a little more rushing upside than people recognize, with over 200 rushing yards. Texans could easily look great on offense this year, and I'd expect Stroud to have a few good games.",James Conner,"James Conner is consistently underdrafted every single year. He was incredibly efficient last year, with over 40 points per 100 snaps, averaging 3 catches a game, and shouldered 65% of the goal line work. While there is talk Benson will take over the backfield, the same talk existed last year and he didn't. Benson is a nice handcuff, but Conner owns this backfield.",Ladd McConkey,"Points per 100 snaps decent, not awesome
Added Keenan Allen + Tre Harris, upgraded RB
Target share not great, 22.8%
Great 5 yd tgt %, but only 8 total. More runs
Don't love the lack of volume",Dallas Goedert,"Decent pts/100 snp, low snap% and util
Low total volume, ceiling is non-existent
When healthy high-end QB2 floor",,,,
16,Jared Goff,"Goff had the best year of his career last year, and I don't expect it to repeat. New OC, a difficult schedule, and what should be a better defense than last year all point to regression here",Chuba Hubbard,"Chuba was a surprise bright spot last year, with decent efficiency metrics but a great snap%. He managed 3 receptions a game and handled 77% of the goal line work. Carolina did bring in Dowdle, but I see him as more of a true 2 than a 1a 1b type situation. I don't think the offense will set off fireworks, so the ceiling here is pretty low, but Chuba can be a good safety valve that won't lose you weeks.",Davante Adams,"Still did well, older but still has some juice
Decent efficiency, better second half 30->36
New team so snaps/tgt/tgt share will be different
Should have plenty of targets if Stafford is healthy
Stafford loves Puka, will probably be WR2
Will be matchup nightmare, have many good games",Colston Loveland,"Super crowded room to get targets
People acting like Kmet is dead
Don't understand the hype here",,,,
17,JJ McCarthy,"JJ thankfully has another JJ on his roster that should propel him to some good games. While I don't expect greatness, I didn't expect greatness from Sam Darnold last year, and we know how that turned out. McCarthy had some rushing talent in college, but nothing to ring any bells in the NFL. I do think he should outperform ADP",James Cook,"James Cook was the definition of efficient last year. Unfortunately, a lot of this came from TDs, far more than we could possibly expect to see him get again this year. He managed 16 TDs while handling less than 50% of the goal line work, which is a major red flag. I'm happily fading this pick at current ADP",Tee Higgins,"Always has health problems, won't play 17
Great when played, 9.1 targets per game
Great efficiency, 35-38 points per 100
Great situation, just needs to stay healthy",,,,,,
18,Caleb Williams,"Caleb Williams has all the weapons to succeed, but also had good weapons last year and didn't. I don't buy that Ben Johnson fixes everything, and see him having some truly bad games.",Treveyon Henderson,"He hasn't officially won the starting job, but he had a great preseason and looked like one of the best rookies in the draft. With his receiving prowess and Josh McDaniel's offense he could easily see 3+ receptions/G, and could take over a good share of the running work from Rhamondre if he falls out of favor again due to fumbles or other circumstances. I don't think this offense will be excellent which limits upside, but could be a bright spot on this team.",Terry Mclaurin,"Just got paid, so no holdout
Decent points per 100 snaps, not great (28)
23% target share not ideal, especially with Deebo now
So much points from TDs, strong regression candidate",,,,,,
19,Trevor Lawrence,"The Jaguars have added Travis Hunter, and BTJ is now in his second year. Evan Engram is a loss, but Strange could be secretly good. I am hesitant to say Lawrence takes a step up, but I will say there is opportunity for him to have some good passing games. No rushing upside caps him though.",Omarion Hampton,"Omarion Hampton could be another case of rookie overhype. Najee Harris, while not eye-catching, is a solid RB given his eye gets healthy and will more than likely see 10+ touches a game. There is room for Omarion to take the starting job here and do well, but the ceiling is low. ",Jerry Jeudy,"Post trade had a breakout,
22 full vs 30 pts/100 snaps
ELITE snap %,  decent second half tgt share
Almost 10 tgts/G second half season
QB situation with Joe Flacco to start should be good
When flacco gets benched, we can hope for no falloff",,,,,,
20,Jordan Love,"Jordan Love has basically no rushing upside, which limits his possibility here. His defense, while losing Alexander, has gained Micah Parsons so is likely around the same or better if Parsons misses less games on average than Alexander did. This puts him in a similar situation to Mahomes, but with less talent both himself and in his receing corps.",Breece Hall,"Breece had a down year last year, playing a good amount of snaps but wasn't very efficient with them. There have been some troubling comments relating to the new coaching staff with Breece saying ""I'm not their guy"". I still think he starts and gets a majority of the work, but with Fields running more than dumping off I see his receptions going down, which was one of the only things keeping him afloat last year.",Marvin Harrison,"Horrible efficiency, 22.7 -> 18.2 points per 100 snap
Only 22% tgt share even though he should be top dog
Situation hasn't changlt,ed. Not sure last season was
his fault. Kyler should be slightly better this year, but 
nothing certain. ADP feels high",,,,,,
21,,,Aaron Jones,"The new fad is to fade Aaron Jones because of the arrival of Jordan Mason, but we are crowning a man without a full season of play the king of this backfield far too soon in my eyes. Aaron Jones exceeded expectations last year, and put forth a good performance with 3 receptions/G and handling 70% of the goal line work. I think Jones will see more usage than many predict this year barring injury, and will be a good RB2.",DK Metcalf,"Horrible efficiency, 21 -> 15 points per 100 snaps
Lost starting job to JSN, 19% tgt share
Far and away best WR on new team
Unfortunately means likely to get doubled
Will have some good games from Arodg deep balls",,,,,,
22,,,Isiah Pacheco,"When Pacheco was healthy, he was an RB1. Now having the whole offseason to recover, I see him taking over this backfield away from Kareem Hunt, who was one of the least efficient runners in the league last year. Pacheco doesn't get much receiving work, but if he gets back to his old self (which is likely given his age) we can expect good yardage and decent TDs from him. Another pro is the defense keeping them in pretty much every game, so he should have a positive game script most of the time.",Calvin Ridley,"Low pts/100 snap, 22.4. Good snap %
Awful QB play, Cam has to be better than Levis
Clear alpha option, no competition
Target share 24%, should go up
Tennessee will have to throw, should have good games",,,,,,
23,,,Tony Pollard,"Tyjae Spears is already hurt, and Pollard looks primed to start the season hot. Pollard was an all-around average player last year, which considering how awful this offense was is saying something. Given that I think this offense (while still bad) can't possibly be worse than Will Levis and last year, I can easily see Pollard reproducing last year's performances and potentially improving on them.",Tet Mcmillan,"Hamstring injury concerning
Should be WR1 on team that is getting better passing
That being said, Carolina is still bad
Bit of a flyer, could see some great weeks",,,,,,
24,,,David Montgomery,"Efficiency monster, incredibly high util % and points per 100 snaps
Very low snap % (41), only ~30 snaps per game
2.6 rec/G flies under the radar
Less than 50% rush % from 5, 12 TDs is over-performance
New OC, offense likely less potent, less room for TDs
Strong regression candidate",Mike Evans,"Mike Evans is Mr. Consistent, though we started to see signs of fall-off last year in the first half of the season when Chris Godwin took the reigns. Once Godwin went down, Evans efficiency skyrocketed. This year Godwin will eventually be back, and Egbuka will take away targets. We could finally see a year where Evans doesn't get 1k yards, and with that I have him falling just outide of my top 24",,,,,,
25,,,JK Dobbins,"New team so snap share is mostly irrelevant
Points per 100 snaps was great, 36 -> 39 second half
2.5 rec/G decent for PPR
Only 8 rushes inside 5, but 9 TDs. Still has some juice
If healthy, absolute steal at ADP. Should be much closer to RJ Harvey",DJ Moore,"Poor points per 100 snaps fueled by poor QB play
25% of targets not catchable
Training camp reports Odunze could grab WR1 spot
QB play likely still a problem, very crowded WR room
Good tgt share 26% will keep him in WR2 range",,,,,,
26,,,RJ Harvey,"Receiving upside, but JK should have starting job unless injury
Sean Payton loves to throw to RB, JK not the guy for that
Offense should be better, more scoring opportunities
That being said, JK likely goal line back",Devonta Smith,"Good WR on a super run heavy team
Average pts/100 snap, ~25. High snap rate
21% target share meh, worse on a run-heavy team
On another team he's high end WR2. 
Not enough volume to be great",,,,,,
27,,,Jacory Merritt,"Could win starting job with Brob gone
Looked good in preseason, likely compete with Rodriguez for 1a
Best potential on this team to outperform ADP
Brob had 8 TDs due to good offense, Bill could eat those",George Pickens,"New team, WR1 -> WR2. Dak upgrade at QB
Ceedee will draw top corners
Ceiling capped behind Ceedee, but room to shine
Will probably be boom/bust",,,,,,
28,,,D'andre Swift,"Good snaps/G + snap %, low util and awful points per 100 snaps
Back with Ben Johnson, but fallen out of grace with him before
2.5 rec/G decent, likely to stay similar with Ben Johnson
Horrible 5 yd %, likely to stay bad
Kyle Monangai could take this job if he runs well",Xavier Worthy,"Not very efficient, non-existent with Rice
If Rice gets suspended, will be good play
Low target share and snap %
Heavy bust rate, especially with Rice
Saw <6 targets a game, wose with Rice",,,,,,
29,,,Kaleb Johnson,"Seems primed to take the Najee role
Gainwell could take away even more work
Offense likely won't be good, defense will keep them in games.
Very low upside, which isn't ideal at this point in the draft",Rashee Rice,"Suspension is flooring his ADP,  Schefty says 4-6 weeks
When he was playing efficiency MONSTER
41.9 pts/100 snaps, 3rd in the league
Not too concerned about injury comeback
If suspension gets delayed to next year or is small, league winner",,,,,,
30,,,Tyrone Tracy,"Won more snaps + snap % second half, maintained util
Points per 100 snaps very inefficient, only ~27
Only 2.2 rec/G, not good
Abysmal 5 yd % rate, almost no TDs. Skattebo could steal carries",Stefon Diggs,"Age and injury are the biggest holdouts here
Before injury, was efficient with 28 pts/100 snaps
Clear WR1 on Patriots, Drake Maye should step up
Slow start possible with injury, but unless he gets
hurt again should easily outperform ADP",,,,,,
31,,,Zach Charbonnet,"Decent snap %, low overall snaps. Good efficiency
2.5 rec/G good, considering that includes KW games
44% of goal line work high number for backup, some games without KW
Instant RB1 if KW goes down. Elite handcuff",Zay Flowers,"Lamar had best passing season ever and he still
only averaged 12 ppg
Low efficiency, 25 pts/100 snap
<7 tgts per game as WR1. Pass",,,,,,
32,,,Najee Harris,"Surprisingly high util % and great points per 100 snaps
New team so no telling how snap share comes out
Eye injury massive ?, could lose starting job before he's healed
If he is ready to go, should easily get 10+ carries per game",Ricky Pearsall,"Training camp + preseason is good reports
Could win WR1 job over Jennings while Aiyuk out
Not concerned about Aiyuk, ACL + MCL tear means
slow start even when he's back
Definitely an upside play, which this deep is ideal
Picking the right 49ers receiver is fantasy gold.
This year I believe it's Pearsall over Jennings",,,,,,
33,,,Jaydon Blue,"My personal favorite to win the starting job
Likely won't win it until mid-season
Dowdle did decent despite underperforming
Offense should be better with Dak back, more scoring",Jaylen Waddle,"I do think Miami will be better passing this year
That being said, all last year's stats were awful
Tyreek I'm betting on talent, Waddle is riskier",,,,,,
34,,,Jaylen Warren,"Coud've had bigger role, but Kaleb drafted
Could have even less work than last year with Gainwell added
2.5 rec/G only thing keeping him afloat
horrible 5 yd%, bad snap+ % + points per 100",Khalil Shakir,"Khalil Shakir became a consistent producer last year, never really having any great games but having multiple average games. The situation in Buffalo hasn't really changed, Shakir is likely to be one of the primary target getters here. While upside is likely capped, he should serve as a good fill in most weeks.",,,,,,
35,,,Austin Ekeler,"Could be good value with Brob gone
Likely still 3rd down role.
Decent snap % but horrible utilization.
Despite low util, good points per 100 snaps. High value touches
Low ceiling, but reasonable floor for a fill in",Chris Olave,"Concussions + Horrible QB make this risky
Wasn't very efficient before injury, 24 pts/100 snap
Only ~5 tgt/G, not good at all
Kamara is the only thing I'd touch on this team",,,,,,
36,,,Travis Etienne,"Low snaps/G, low snap % and util. Awful points per 100 snaps
2.6 rec/G decent, but that's about it
22% 5 yd % horrible, no reason that will change. No TD upside
More likely to lose job than finish as RB2",Jakobi Meyers,"Before Cooper signing, this was incredible value
While not very efficient, ELITE snap % with good util
Plenty of targets without Davante
Now with Cooper and trade request, could be bad
Went from mid WR2 to high end WR3 at best",,,,,,
37,,,Tank Bigsby,"Low snap %, decent util, bad second half of season points per 100 snaps
Could win first down role out of preseason
Likely part of timeshare that results in nobody being relevant",Rome Odunze,"Horrible efficiency, 15 pts/100 snap
Good snap% but low utilization
Only 3.5 catchable passes per game
Training camp and preseason looks best for him
If Caleb steps up, could be good value
High risk, I don't buy the Caleb Williams improvement",,,,,,
38,,,Jordan Mason,"Backup, but paid decent money. Could imply 1a and 1b
Not great points per 100 snaps, low-ish util rate
Decent as fill-in for CMC, but low number of games before injury
Not many catches
Likely over-hyped",Josh Downs,"Favorite to be best Colts WR
Great success from slot last year, Jones will feed him
Great efficiency, 30 pts/100 snaps
27% tgts from 10, most targets on team
If AR wins back job, disaster for WRs",,,,,,
39,,,Javonte Williams,"Great snap %, horrible efficiency on low total snaps
3 rec/G good, but likely more to do with Sean Payton than ability
Less than 4 YPC behind good O-line. Not a good sign
Will likely start season as starter then lose job",Travis Hunter,"Subpar offensive team, stuck behind BTJ
Likely to see more WR snaps than DB
Could see Strange out-targeting him
Average for PPR",,,,,,
40,,,Dylan Sampson,"Think he will win starting job with no Judkins yet
Would rather take upside swing here than vets who will lose job",Cooper Kupp,"Hasn't had healthy season in years
Decent efficiency, 27 pts/100 snap with 2nd half fall-off
New team, will be WR2 behind JSN
If Dalton looks decent, can return good WR2 value
Likely low ceiling, decent floor",,,,,,
41,,,Rhamondre Stevenson,"Technically still starter, likely not for long
Fumble problem found him out of favor last year
Great snap % and high snaps, horrible points per 100 snaps
Goal line work kept him relevant, may not be enough this year
Will likely still hawk a few",Matthew Golden,"Training camp + preseason is good reports
High upside pick, Packers begging for true WR1
Love ""loves"" to spread ball around, will have bust weeks. If anyone wins WR1 job, bet on Golden",,,,,,
42,,,Ollie Gordon,"Ollie Gordon looks to have won the backup job over Jaylen Wright with preseason performance. Achane has already started to deal with injuries, and Ollie Gordon could be a serviceable backup. Ollie Gordon was one of the best RBs in the NCAA two years ago, people would do well to remember that.",Emeka Egbuka,"Will be very good for first few weeks with Godwin out
Betting on good enough to continue seeing work
Unfortunately is almost destined to have worse 2nd
half of season, but will still be decent",,,,,,
43,,,Quinshon Judkins,"Still hasn't signed yet, off the field issues + contract dispute
Crowded backfield, Sampson ripe to take the job
Super talented and could do well if signed, but no practice is bad",Jordan Addison,"3 game suspension not great, not horrible
Good efficiency, 30 pts/100 snap 2nd half of season
only 6.6 tgt/G, 4.3 catchable. Not enough for high level
High value passes, 9 targets within 10 yards
Hock should take more volume
Rookie QB won't support 3 great options, probably
not 2. Would bet on Hock before Addison",,,,,,
44,,,Cam Skattebo,"Starting season injured
Would have to leapfrog Tracy *and* giants would have to get better for him to be a good value.
Could see some TDs hawking from him",Jauan Jennings,"Good efficiency last year, 30.6 pts/100 snaps
Took over as de facto WR1, performed well
Some contract dispute, could cause problems
At risk of being overtaken by Pearsall
Late stage breakout, could be 1 and done
Would rather take Pearsall",,,,,,
45,,,Brian Robinson,"Traded to 49ers, little to no usage
Even if CMC gets hurt, could split with Guerendo",Deebo Samuel,"New team so hard to judge a bit, WR2 behind Terry
Injuries always a problem, was efficient before them
Will have a couple good weeks, benefits from lack
of talent surrounding him other than Terry
Low ceiling option",,,,,,
46,,,Joe Mixon,"Injury seems worse the more they don't talk about it
Chubb + Pierce could eat early season time
If injury isn't significant, will smash ADP
Good snaps/G, good %, great util and efficiency
2.6 rec/G decent for PPR, incredibly 5 yd run % (80)
Only thing pushing him down this far is injury, and end of season fall off
UPDATE: Out 4 weeks, avoid heavily",Jayden Higgins,"Interesting value here, I like as a flier in case he takes
the WR2 spot from Kirk, could be very valuable",,,,,,
47,,,,,Jameson Williams,"Decently efficient, 25->29 pts/100 snaps
17% target share is abysmal, now Teslaa added
Could see him losing WR2 job
Not worth the risk",,,,,,
48,,,,,Keon Coleman,"Keon Coleman should've broken out last year, but didn't. Some of this could be attributed to an injury he suffered last season, and there is hope he takes a sophomore leap.What does provide hope is Coleman had 5 targets within the 10 yard line, compared to Shakir's 2. If Coleman becomes a redzone target for Allen, expect him to outperform ADP.",,,,,,
